Outlier,Imputer,Scaler,RMSE,MSE,MAE,R2,SampleCount,FoldCount,Dataset
log,knn,minmax,11.65129901286399,145.43727944167784,8.845396250000002,0.37878334597010654,20,5,Titanic
log,knn,robust,11.65129901286399,145.43727944167784,8.845396250000002,0.37878334597010654,20,5,Titanic
log,knn,quantile,11.57178251931229,151.77097306207466,9.137221499999999,0.4053957913952983,20,5,Titanic
log,knn,unit_vector,12.393815200591945,175.51562116068362,9.426037800000003,0.3742915137668075,20,5,Titanic
log,most_frequent,none,11.670317833938674,145.56394950260213,8.9644599,0.3791508855680249,20,5,Titanic
log,most_frequent,standard,11.670317833938674,145.56394950260213,8.9644599,0.3791508855680249,20,5,Titanic
log,most_frequent,minmax,11.670317833938674,145.56394950260213,8.9644599,0.3791508855680249,20,5,Titanic
log,most_frequent,robust,11.670317833938674,145.56394950260213,8.9644599,0.3791508855680249,20,5,Titanic
log,most_frequent,quantile,11.6283328607833,154.05044554649677,9.341827000000002,0.4081888644953038,20,5,Titanic
log,most_frequent,unit_vector,12.397472190719693,176.00632575850258,9.524861249999997,0.37352389885270265,20,5,Titanic
log,constant_zero,none,11.49648795677257,141.9469712778153,8.473570650000003,0.3971110913741825,20,5,Titanic
log,constant_zero,standard,11.49648795677257,141.9469712778153,8.473570650000003,0.3971110913741825,20,5,Titanic
log,constant_zero,minmax,11.49648795677257,141.9469712778153,8.473570650000003,0.3971110913741825,20,5,Titanic
log,constant_zero,robust,11.49648795677257,141.9469712778153,8.473570650000003,0.3971110913741825,20,5,Titanic
log,constant_zero,quantile,11.555876128653827,153.00727648059865,8.946681900000002,0.418284381322269,20,5,Titanic
log,constant_zero,unit_vector,12.378129240096971,175.60744341445135,9.491900899999996,0.37647773900363096,20,5,Titanic
log,iterative,none,11.732400970170115,146.4082535676592,8.9021797,0.3576851205170589,20,5,Titanic
log,iterative,standard,11.732400970170115,146.4082535676592,8.9021797,0.3576851205170589,20,5,Titanic
log,iterative,minmax,11.732400970170115,146.4082535676592,8.9021797,0.3576851205170589,20,5,Titanic
log,iterative,robust,11.732400970170115,146.4082535676592,8.9021797,0.3576851205170589,20,5,Titanic
log,iterative,quantile,11.779991349331691,156.04905497256362,9.343282149999997,0.37454521303314087,20,5,Titanic
log,iterative,unit_vector,12.493398121144375,177.78462518776718,9.506946450000003,0.36025324799627984,20,5,Titanic
log,drop,none,10.785266204273384,161.9168733927416,9.053483899999998,-0.16670012398661943,17,5,Titanic
