Outlier,Imputer,Scaler,Accuracy,Precision,Recall,F1,SampleCount,FoldCount,Dataset
log,constant_zero,unit_vector,0.785638064151654,0.7844605045242826,0.785638064151654,0.7833241462888012,891,5,Titanic
log,iterative,none,0.7901261691042621,0.7897473990848181,0.7901261691042621,0.7889758390540372,891,5,Titanic
log,iterative,standard,0.7934906785512523,0.7927565763879295,0.7934906785512523,0.7924435753809482,891,5,Titanic
log,iterative,minmax,0.7878915322327538,0.7878393298100868,0.7878915322327538,0.7867957520442681,891,5,Titanic
log,iterative,robust,0.7923608059757704,0.7917737916534329,0.7923608059757704,0.7913827425189155,891,5,Titanic
log,iterative,quantile,0.7934844014813885,0.7921091237943754,0.7934844014813885,0.792111693031331,891,5,Titanic
log,iterative,unit_vector,0.7867553825874082,0.785561872984107,0.7867553825874082,0.7843750264994809,891,5,Titanic
log,drop,none,0.7934699103713188,0.7936773944297044,0.7934699103713188,0.7918635432413603,712,5,Titanic
log,drop,standard,0.7948488131586724,0.7957278012537268,0.7948488131586724,0.7937549389372902,712,5,Titanic
log,drop,minmax,0.7793854033290653,0.7803689414329,0.7793854033290653,0.7782164611682019,712,5,Titanic
log,drop,robust,0.7962671131685216,0.7965488694273133,0.7962671131685216,0.7950308905126625,712,5,Titanic
log,drop,quantile,0.7934403624544469,0.7933268095197504,0.7934403624544469,0.7920336847876919,712,5,Titanic
log,drop,unit_vector,0.7780163498473357,0.7787306369361128,0.7780163498473357,0.7749349953769828,712,5,Titanic
boxcox,mean,none,0.7923608059757705,0.7913816426528298,0.7923608059757705,0.7907640624986219,891,5,Titanic
boxcox,mean,standard,0.7934844014813884,0.7925223829742177,0.7934844014813884,0.791823532497011,891,5,Titanic
boxcox,mean,minmax,0.7901387232439896,0.789992337624206,0.7901387232439896,0.7888548925826149,891,5,Titanic
boxcox,mean,robust,0.7912434875400163,0.7903102540240596,0.7912434875400163,0.7897066911847257,891,5,Titanic
boxcox,mean,quantile,0.7890151277383717,0.7883440677757069,0.7890151277383717,0.7876691390947458,891,5,Titanic
boxcox,mean,unit_vector,0.7878852551628899,0.7867076955355186,0.7878852551628899,0.7855713373000371,891,5,Titanic
boxcox,median,none,0.7923608059757705,0.7914674155311442,0.7923608059757705,0.7908923610687622,891,5,Titanic
boxcox,median,standard,0.7934844014813884,0.7925223829742177,0.7934844014813884,0.791823532497011,891,5,Titanic
boxcox,median,minmax,0.7901387232439896,0.789992337624206,0.7901387232439896,0.7888548925826149,891,5,Titanic
boxcox,median,robust,0.7923670830456343,0.7914834803905185,0.7923670830456343,0.7909026031790705,891,5,Titanic
boxcox,median,quantile,0.7878915322327538,0.7872956677527974,0.7878915322327538,0.7865990559430337,891,5,Titanic
boxcox,median,unit_vector,0.7878852551628899,0.7867076955355186,0.7878852551628899,0.7855713373000371,891,5,Titanic
boxcox,knn,none,0.7822610005649363,0.7810431329440648,0.7822610005649363,0.780588247422747,891,5,Titanic
boxcox,knn,standard,0.7856255100119265,0.7845483968142177,0.7856255100119265,0.7842646387173502,891,5,Titanic
boxcox,knn,minmax,0.7856443412215178,0.7845725455703038,0.7856443412215178,0.7842966148178354,891,5,Titanic
boxcox,knn,robust,0.7856317870817902,0.7846680506905136,0.7856317870817902,0.78442168907678,891,5,Titanic
boxcox,knn,quantile,0.7833845960705542,0.7827396056973744,0.7833845960705542,0.782169469585172,891,5,Titanic
boxcox,knn,unit_vector,0.7867553825874082,0.7856474224237003,0.7867553825874082,0.7845217674157452,891,5,Titanic
boxcox,most_frequent,none,0.7912372104701525,0.7902769200835413,0.7912372104701525,0.7896634725249816,891,5,Titanic
boxcox,most_frequent,standard,0.7946017199171427,0.7936146063215903,0.7946017199171427,0.793025591661219,891,5,Titanic
boxcox,most_frequent,minmax,0.7912623187496075,0.7911730513620937,0.7912623187496075,0.790044186530982,891,5,Titanic
boxcox,most_frequent,robust,0.7901136149645346,0.789034632820274,0.7901136149645346,0.7886334476040583,891,5,Titanic
boxcox,most_frequent,quantile,0.7912372104701525,0.7907012485392451,0.7912372104701525,0.7901833316902893,891,5,Titanic
boxcox,most_frequent,unit_vector,0.7878852551628899,0.7867076955355186,0.7878852551628899,0.7855713373000371,891,5,Titanic
boxcox,constant_zero,none,0.7811436821291821,0.7805102161142853,0.7811436821291821,0.7794675674892004,891,5,Titanic
boxcox,constant_zero,standard,0.783390873140418,0.7827583725841104,0.783390873140418,0.7817782019117889,891,5,Titanic
boxcox,constant_zero,minmax,0.7811499591990458,0.7813087733104964,0.7811499591990458,0.779641993533717,891,5,Titanic
boxcox,constant_zero,robust,0.7777854497520558,0.7775386951007395,0.7777854497520558,0.7762795083647307,891,5,Titanic
boxcox,constant_zero,quantile,0.777779172682192,0.7779278997405346,0.777779172682192,0.7771187150354938,891,5,Titanic
boxcox,constant_zero,unit_vector,0.7867553825874082,0.7856474224237003,0.7867553825874082,0.7845217674157452,891,5,Titanic
boxcox,iterative,none,0.7867491055175444,0.7857527705701595,0.7867491055175444,0.7854544256506931,891,5,Titanic
boxcox,iterative,standard,0.7934844014813885,0.7923011063218632,0.7934844014813885,0.7920764621603472,891,5,Titanic
boxcox,iterative,minmax,0.7912497646098802,0.7904577420433305,0.7912497646098802,0.790119581365279,891,5,Titanic
boxcox,iterative,robust,0.7901136149645345,0.789173316994545,0.7901136149645345,0.7887617019940947,891,5,Titanic
boxcox,iterative,quantile,0.7912434875400163,0.7900114110629434,0.7912434875400163,0.7899844805597898,891,5,Titanic
boxcox,iterative,unit_vector,0.786761659657272,0.7854996801536764,0.786761659657272,0.7844001435579881,891,5,Titanic
boxcox,drop,none,0.7892445582586427,0.7890497733670125,0.7892445582586427,0.7877533745813137,712,5,Titanic
boxcox,drop,standard,0.7948586624642963,0.7950429328717222,0.7948586624642963,0.7933633474679138,712,5,Titanic
boxcox,drop,minmax,0.786427656850192,0.7873874828132924,0.786427656850192,0.7848333054740907,712,5,Titanic
boxcox,drop,robust,0.7878459568600414,0.7882125646542365,0.7878459568600414,0.7860606902815667,712,5,Titanic
boxcox,drop,quantile,0.7934403624544469,0.7933268095197504,0.7934403624544469,0.7920336847876919,712,5,Titanic
boxcox,drop,unit_vector,0.7780261991529598,0.7785134663040549,0.7780261991529598,0.7752776782033685,712,5,Titanic
yeojohnson,mean,none,0.7912434875400163,0.7903066506278054,0.7912434875400163,0.7893795820349949,891,5,Titanic
yeojohnson,mean,standard,0.790126169104262,0.7892682520467718,0.790126169104262,0.7885033008682495,891,5,Titanic
yeojohnson,mean,minmax,0.7946205511267339,0.7943220728157432,0.7946205511267339,0.7930161653507637,891,5,Titanic
yeojohnson,mean,robust,0.7934906785512522,0.7926934089222202,0.7934906785512522,0.7918238760648302,891,5,Titanic
yeojohnson,mean,quantile,0.7878915322327538,0.7872956677527974,0.7878915322327538,0.7865990559430337,891,5,Titanic
yeojohnson,mean,unit_vector,0.7890025735986442,0.7883318209753316,0.7890025735986442,0.7872142346295522,891,5,Titanic
yeojohnson,median,none,0.7912434875400163,0.7903066506278054,0.7912434875400163,0.7893795820349949,891,5,Titanic
yeojohnson,median,standard,0.7890025735986441,0.7881891933904037,0.7890025735986441,0.7874392662829909,891,5,Titanic
yeojohnson,median,minmax,0.794620551126734,0.7945097543271069,0.794620551126734,0.7928750470754001,891,5,Titanic
yeojohnson,median,robust,0.7923670830456342,0.7915643898828043,0.7923670830456342,0.7907585413172373,891,5,Titanic
yeojohnson,median,quantile,0.7867679367271357,0.7860570955944086,0.7867679367271357,0.7855524519939338,891,5,Titanic
yeojohnson,median,unit_vector,0.7890025735986442,0.7883318209753316,0.7890025735986442,0.7872142346295522,891,5,Titanic
yeojohnson,knn,none,0.7912434875400163,0.7898687837418803,0.7912434875400163,0.7894540839688537,891,5,Titanic
yeojohnson,knn,standard,0.7923608059757705,0.7909217513374418,0.7923608059757705,0.7906385119569771,891,5,Titanic
yeojohnson,knn,minmax,0.7934906785512523,0.7921377099840397,0.7934906785512523,0.7918349282977908,891,5,Titanic
yeojohnson,knn,robust,0.7912309334002888,0.7898072616253435,0.7912309334002888,0.7895750088337655,891,5,Titanic
yeojohnson,knn,quantile,0.7878664239532986,0.7870152949224566,0.7878664239532986,0.7867832673703588,891,5,Titanic
yeojohnson,knn,unit_vector,0.7878789780930262,0.7871718978554457,0.7878789780930262,0.7859842561075358,891,5,Titanic
yeojohnson,most_frequent,none,0.7912372104701525,0.7902110913600068,0.7912372104701525,0.7896776528621553,891,5,Titanic
yeojohnson,most_frequent,standard,0.7912497646098801,0.7904024840054551,0.7912497646098801,0.7897091685504998,891,5,Titanic
